wedding,total_happiness,n_lonely
./weddings/ring_suite/ring_14_14_2106068216.txt,42,156
./weddings/ring_suite/ring_7_7_612759493.txt,12,37
./weddings/ring_suite/ring_2_2_2624910809.txt,0,4
./weddings/ring_suite/ring_10_10_461833857.txt,22,80
./weddings/ring_suite/ring_12_12_4031056364.txt,22,122
