wedding,n_people,n_tables,total_happiness,mean_happiness,median_happiness,min_happiness,max_happiness,n_lonely,seconds
./weddings/tense-suite/tense_003_003_1411879195.txt,9,3,132,14.666666666666666,17.0,-28,37,1,0.002713849
./weddings/tense-suite/tense_003_003_1411879195.txt,9,3,-252,-28.0,20.5,-92,21,3,0.003860097
./weddings/tense-suite/tense_003_003_1411879195.txt,9,3,132,14.666666666666666,17.0,-28,37,1,0.004441512
./weddings/tense-suite/tense_003_003_1786394688.txt,9,3,68,7.555555555555555,-43.5,-66,76,1,0.005058339
./weddings/tense-suite/tense_003_003_1786394688.txt,9,3,-160,-17.77777777777778,-30.0,-94,34,3,0.003984911
./weddings/tense-suite/tense_003_003_1786394688.txt,9,3,-192,-21.333333333333332,-24.5,-71,31,2,0.003707339
./weddings/tense-suite/tense_003_003_1786394688.txt,9,3,-96,-10.666666666666666,0.5,-49,40,1,0.003859117
./weddings/tense-suite/tense_003_003_1786394688.txt,9,3,144,16.0,-2.0,-56,76,1,0.00355097
./weddings/tense-suite/tense_003_003_1786394688.txt,9,3,-94,-10.444444444444445,38.0,-71,47,1,0.003514005
./weddings/tense-suite/tense_003_003_1786394688.txt,9,3,248,27.555555555555557,7.0,4,76,0,0.00358716
./weddings/tense-suite/tense_003_003_1786394688.txt,9,3,-76,-8.444444444444445,-43.5,-66,55,1,0.003716464
./weddings/tense-suite/tense_003_003_1786394688.txt,9,3,-224,-24.88888888888889,-21.0,-85,34,3,0.003619021
./weddings/tense-suite/tense_003_003_1786394688.txt,9,3,-138,-15.333333333333334,0.5,-56,34,1,0.003654689
./weddings/tense-suite/tense_003_003_2216908246.txt,9,3,156,17.333333333333332,-18.5,-20,59,1,0.012687734
./weddings/tense-suite/tense_003_003_2216908246.txt,9,3,14,1.5555555555555556,-34.0,-73,43,1,0.007987169
./weddings/tense-suite/tense_003_003_2216908246.txt,9,3,-154,-17.11111111111111,-59.5,-71,46,4,0.00912962
./weddings/tense-suite/tense_003_003_2216908246.txt,9,3,16,1.7777777777777777,-9.5,-28,59,2,0.007433313
./weddings/tense-suite/tense_003_003_2216908246.txt,9,3,-12,-1.3333333333333333,-31.0,-47,46,2,0.008157488
./weddings/tense-suite/tense_003_003_2216908246.txt,9,3,100,11.11111111111111,12.0,-58,56,2,0.004710801
./weddings/tense-suite/tense_003_003_2216908246.txt,9,3,60,6.666666666666667,-9.5,-34,49,1,0.007534181
./weddings/tense-suite/tense_003_003_2216908246.txt,9,3,4,0.4444444444444444,-7.5,-32,46,2,0.003882489
